timestamp_utc,temperature_c,windspeed_kmh,sample_id
2026-09-07 18:01:04,13.3,6.1,3053
2026-09-08 03:26:11,10.3,1.9,6021
2026-09-09 03:29:58,9.4,4.5,7717
2026-09-09 03:30:01,9.4,4.8,8003
2026-09-10 03:28:22,10.6,4.4,9162
2026-09-10 03:28:24,10.6,4.4,8615
2026-09-10 03:28:27,10.6,4.4,3481
2026-09-10 03:45:28,20.0,5.0,6751
2026-09-10 03:45:31,10.8,4.2,1773
2026-09-10 03:45:33,10.8,4.2,5651
2026-09-11 03:24:54,9.5,6.0,5782
2026-09-11 03:24:56,9.5,6.0,1192
2026-09-11 03:24:59,9.5,6.0,2700
2026-09-11 03:43:29,20.0,5.0,3280
2026-09-11 03:43:32,9.6,5.9,7216
2026-09-11 03:43:34,9.6,5.9,4659
2026-09-12 03:30:29,9.6,4.3,2581
2026-09-12 03:30:32,9.6,4.3,6848
2026-09-13 03:36:25,9.3,4.6,2649
2026-09-13 03:36:28,9.3,4.6,2054
2026-09-13 03:36:30,9.3,4.6,3135
2026-09-13 03:53:31,20.0,5.0,2765
2026-09-13 03:53:34,9.5,4.9,5169
2026-09-13 03:53:36,9.5,4.9,6663
2026-09-14 03:45:51,9.1,5.5,6967
2026-09-14 03:45:54,9.1,5.5,3649
2026-09-14 03:45:57,9.1,5.5,9142
2026-09-14 04:02:56,20.0,5.0,5179
2026-09-14 04:02:59,9.8,5.6,6778
2026-09-14 04:03:02,9.8,5.6,4564
2026-09-15 03:46:32,11.3,4.2,9064
2026-09-15 03:46:34,11.3,4.2,6812
2026-09-15 03:46:37,11.3,4.2,7725
2026-09-15 04:04:08,20.0,5.0,8204
2026-09-15 04:04:11,11.7,4.5,4879
2026-09-15 04:04:13,11.7,4.5,9069
2026-09-15 04:04:16,11.7,4.5,6499
2026-09-15 04:21:49,20.0,5.0,7915
2026-09-15 04:21:51,12.4,4.4,8665
2026-09-16 03:43:20,9.8,4.9,9383
2026-09-16 03:43:22,9.8,4.9,4392
2026-09-16 03:43:24,9.8,4.9,8461
2026-09-17 03:48:26,12.2,2.8,5115
2026-09-17 03:48:29,12.2,2.8,1611
2026-09-17 03:48:31,12.2,2.8,4004
2026-09-18 03:35:01,10.7,5.2,3657
2026-09-18 03:35:04,10.7,5.2,2288
2026-09-18 03:35:07,10.7,5.2,9723
2026-09-18 03:53:35,20.0,5.0,8964
2026-09-18 03:53:37,10.9,6.6,2958
2026-09-18 03:53:40,10.9,6.6,7474
2026-09-18 04:12:09,20.0,5.0,9103
2026-09-18 04:12:11,11.2,7.5,5190
2026-09-18 04:12:14,11.2,7.5,3945
2026-09-19 03:32:18,10.0,4.6,9866
2026-09-19 03:32:21,10.0,4.6,7500
2026-09-19 03:32:23,10.0,4.6,8884
2026-09-19 03:50:04,20.0,5.0,5522
2026-09-19 03:50:07,10.1,4.9,8121
2026-09-19 03:50:09,10.1,4.9,7992
2026-09-19 03:50:12,10.1,4.9,8147
2026-09-19 04:07:53,20.0,5.0,4335
2026-09-19 04:07:56,10.5,5.1,9201
2026-09-20 03:48:00,9.9,4.1,9253
2026-09-20 03:48:03,9.9,4.1,2183
2026-09-20 03:48:06,9.9,4.1,2006
2026-09-20 04:06:01,20.0,5.0,9784
2026-09-20 04:06:04,10.5,3.9,4551
2026-09-20 04:06:07,10.5,3.9,4504
2026-09-21 03:44:16,9.7,5.1,6547
2026-09-21 03:44:18,9.7,5.1,2508
2026-09-21 03:44:21,9.7,5.1,1041
2026-09-22 03:42:00,9.4,3.7,6464
2026-09-22 03:42:03,9.4,3.7,2938
2026-09-22 03:42:06,9.4,3.7,5362
2026-09-22 04:00:09,20.0,5.0,1620
2026-09-22 04:00:12,10.0,3.6,4692
2026-09-22 04:00:15,10.0,3.6,1473
2026-09-22 04:00:18,10.0,3.6,8376
2026-09-22 04:18:22,20.0,5.0,1116
2026-09-22 04:18:25,11.0,3.1,7990
2026-09-23 03:41:21,8.3,5.9,6399
2026-09-23 03:41:23,8.3,5.9,2436
2026-09-23 03:41:26,8.3,5.9,9391
2026-09-24 03:32:27,9.4,7.3,8140
2026-09-24 03:32:30,9.4,7.3,7299
2026-09-24 03:32:33,9.4,7.3,3004
2026-09-24 03:50:37,20.0,5.0,8817
2026-09-24 03:50:40,9.8,7.3,4998
2026-09-24 03:50:43,9.8,7.3,7996
2026-09-25 03:49:18,9.8,4.3,1965
2026-09-25 03:49:21,9.8,4.3,2075
2026-09-26 03:55:04,10.3,4.0,7248
2026-09-26 03:55:07,10.3,4.0,9453
